Part Number,Part Name,Brand,Series,Price,Stock,Image_URL,Storage Location,Cost Price
FDF01002,PPAINT GRILLE WIDE 137CM,Fuso,CANTER 2010,3000.0,10,picture/FDF01002.png,หน้าห้อง,2500.0
FDF01004-,PPAINT FRONT PANEL WIDE 173CM,Fuso,CANTER 2010,2000.0,23,picture/FDF01004-.png,,1500.0
FDF01007-C,Chrome Wiper Panel Wide RHD,Fuso,CANTER 2010,2200.0,18,picture/FDF01007-C.png,หน้าห้องน้ำ,1500.0
FDF01037L ,FDF01037RCorner Benzel LH RH,Fuso,CANTER 2010,200.0,50,picture/FDF01037L .png,,100.0
FDF01045 ,Radiator Surge tank,Fuso,CANTER 2010,100.0,15,picture/FDF01045 .png,,100.0
FDF01047,Water Pump,Fuso,CANTER 2010,700.0,10,picture/FDF01047.png,,400.0
FDF01048 ,Brake Master,Fuso,CANTER 2010,800.0,14,picture/FDF01048 .png,,450.0
FDH00003-C ,Chrome Lower Grille,HINO,VICTOR 500,2000.0,10,picture/FDH00003-C .png,,1400.0
FDH00047,CHINO LOGO Silver,HINO,VICTOR 500,1000.0,20,picture/FDH00047.png,,500.0
FDH00064-C ,Chrome Bumper,HINO,VICTOR 500,4500.0,5,picture/FDH00064-C .png,,
FDH00070,Cabin Shell LHD Low,HINO,VICTOR 500,100000.0,2,picture/FDH00070.png,,70000.0
FDH00067L,STEP ARM LOWER LHRH,HINO,VICTOR 500,2000.0,10,picture/FDH00067L.png,,1500.0
FDH00074,Gear Lever Bracket,hino,victor 500,500.0,10,picture/FDH00074.png,,
FDH00075,LOGO 24V 37cm25cm YELLOW,HINO,VICTOR 500,1500.0,5,picture/FDH00075.png,,0.0
FDH00076,Water Tank,HINO,VICTOR 500,1500.0,10,picture/FDH00076.png,,0.0
FDH00077,"OIL RESERVOIR ASSY 38446-67002,44360-EW011",HINO,VICTOR 500,3500.0,5,picture/FDH00077.png,,0.0
FDH00085 ,Tie rod End S4550-E0150,HINO,VICTOR 500,700.0,8,picture/FDH00085 .png,,
FDH03001-C ,Chrome Front Panel 200cm,HINO,PROFIA,3000.0,5,picture/FDH03001-C .png,,0.0
FDH03003-P   ,Painted bumper 98 35T 240cm.,HINO,PROFIA,5000.0,5,picture/FDH03003-P   .png,,0.0
FDH03006-P ,Grille 135cm,HINO,PROFIA,2500.0,4,picture/FDH03006-P .png,,0.0
FDH03015 ,Mirror 26cm,HINO,PROFIA,500.0,30,picture/FDH03015 .png,,
FDH03016L-C FDH03016R-C ,CHROME VISOR LHRH,HINO,PROFIA,1000.0,4,picture/FDH03016L-C FDH03016R-C .png,,0.0
FDH03020-C ,Chrome Center Grille 165cm,HINO,PROFIA,1400.0,4,picture/FDH03020-C .png,,0.0
FDH03022 ,Water Tank,HINO,PROFIA,500.0,3,picture/FDH03022 .png,,0.0
FDH03024L-RHD,Paint Mirror Arm LHRH RHD,HINO,PROFIA,1000.0,10,picture/FDH03024L-RHD.png,,
FDH03040L-P,Head Lamp Case 94  LHRH,HINO,PROFIA,400.0,17,picture/FDH03040L-P.png,ชั้นบนสุดตึกซ้าย,
FDH03044-C,Chrome Bumper Grille,hino   ,profia,1500.0,6,picture/FDH03044-C.png,,
FDH03044,Painted Bumper Garnish  2000 35T,HINO,PROFIA,1500.0,2,picture/FDH03044.png,,
FDH03072,INNER HANDLE,HINO,PROFIA,400.0,5,picture/FDH03072.png,,
FDH03086,ENGNE FAN 16306-2522,hino,profia,1500.0,5,picture/FDH03086.png,,
FDH01001-C ,Chrome Front Bumper 240CM,HINO,mega 700,6000.0,3,picture/FDH01001-C .png,,
FDH01002-P ,Front Panel,HINO,mega 700,4000.0,4,picture/FDH01002-P .png,,
FDH01003-P ,Upper Grille,HINO,mega 700,3800.0,3,picture/FDH01003-P .png,,
FDH01006-P ,Lower Grille,HINO,mega 700,1000.0,10,picture/FDH01006-P .png,,0.0
FDH01008,MIRROR ARM LHRH (DOOR),HINO,mega 700,1500.0,10,picture/FDH01008.png,,0.0
FDH01023L,Front Panel Handle LHRH,HINO,mega 700,700.0,5,picture/FDH01023L.png,,
FDH01025 ,Side Lamp,HINO,mega 700,600.0,10,picture/FDH01025 .png,,
FDH01031,Battery Cover Plastic,HINO,mega 700,800.0,6,picture/FDH01031.png,,
FDH01033L,Door Trim Black(Manual) LHRH,HINO,mega 700,1500.0,15,picture/FDH01033L.png,,
FDH01035 ,Aluminum Step Lower 32cm14cm,HINO,mega 700,500.0,30,picture/FDH01035 .png,,
FDH01038L,Window Regulator Auto LHRH,HINO,mega 700,1400.0,12,picture/FDH01038L.png,,
FDH01040,Bumper Inner Frame,hino      ,mega 700,1000.0,7,picture/FDH01040.png,,
FDH01049, Mirrors 220 170mm,hino  ,mega 700,1800.0,10,picture/FDH01049.png,,
FDH01051-P ,Step Panel Lower Garnish,hino  ,mega 700,400.0,40,picture/FDH01051-P .png,,
FDH01052 ,Courtesy Lamp,hino ,mega 700,1000.0,10,picture/FDH01052 .png,,
FDH01100 ,HINO 700 logo,hino   ,mega 700,1000.0,40,picture/FDH01100 .png,,
FDH01103  ,Mark for Hino 5 5cm,HINO,mega 700,1000.0,20,picture/FDH01103  .png,,
FDH01106 ,Indoor Lamp (lamp),HINO,mega 700,2000.0,5,picture/FDH01106 .png,,
FDH02004-P ,Front Bumper (N) 195cm 2003,HINO,MEGA 500,3500.0,5,picture/FDH02004-P .png,,
FDH02011-C ,Chrome Grille (W) 165cm,HINO,MEGA 500,2500.0,9,picture/FDH02011-C .png,,
FDH02013-C ,Chrome Lower Bumper,HINO,MEGA 500,3000.0,6,picture/FDH02013-C .png,,
FDH02014 ,Mirror Arm RHD Screm Head,HINO,MEGA 500,400.0,20,picture/FDH02014 .png,,
FDH02018-P ,Wiper Panel  185cm,HINO,MEGA 500,2000.0,6,picture/FDH02018-P .png,,
FDH02049 ,Water Tank (trailer),HINO,MEGA 500,1700.0,3,picture/FDH02049 .png,,
FDH02050L FDH02050R ,SPLASH BOARD REAR STAY LHRH,HINO,MEGA 500,2500.0,15,picture/FDH02050L FDH02050R .png,,
FDH02059-N-LHD ,WIPER LINK NARROW LHD,HINO,MEGA 500,1800.0,5,picture/FDH02059-N-LHD .png,,
FDH02071 ,Alloy step lower,HINO,MEGA 500,500.0,30,picture/FDH02071 .png,,
FDH02073L-LHD FDH02073R-LHD ,Mirror Arm LHD LHRH,HINO,MEGA 500,800.0,8,picture/FDH02073L-LHD FDH02073R-LHD .png,,
FDH02074 ,Shroud assy fan.png,HINO,MEGA 500,1000.0,15,picture/FDH02074 .png,,
FDH02084 ,MARK 500,HINO,MEGA 500,700.0,10,picture/FDH02084 .png,,
FDH02086 ,Reflector 15.2 3 2.5cm,HINO,MEGA 500,50.0,100,picture/FDH02086 .png,,
FDH02092 ,Ashiray 10 9.2CM,HINO,MEGA 500,500.0,50,picture/FDH02092 .png,,
FDI02001-P ,Front Panel  Plastic White,ISUZU,DECA 360,3500.0,4,picture/FDI02001-P .png,,
FDI02002  ,Interior of the panel,ISUZU,DECA 360,1300.0,5,picture/FDI02002  .png,,
FDI02003-P ,Grille 160cm,ISUZU,DECA 360,2000.0,8,picture/FDI02003-P .png,,
FDI02005 -P ,FRONT BUMPER 215CM PAINT,ISUZU,DECA 360,3000.0,4,picture/FDI02005 -P .png,,
FDI02007LR,FRONT PILLAR INNER UPPER LH  RH,ISUZU,DECA 360,1000.0,10,picture/FDI02007LR.png,,
FDI02011LR-P,Wiper base plating LHD OR RHD 195cm,ISUZU,DECA 360,1500.0,15,picture/FDI02011LR-P.png,,
FDI02016LR ,CORNER PANEL GARNISH LH RH,ISUZU,DECA 360,500.0,20,picture/FDI02016LR .png,,
FDI02038LR ,SPLASH BOARD REAR LH  RH,ISUZU,DECA 360,800.0,20,picture/FDI02038LR .png,,
FDI02041LR ,Step Panel Upper LHRH,ISUZU,DECA 360,600.0,23,picture/FDI02041LR .png,,
FDI02042RL,STEP PANEL LOWER RHLH,ISUZU,DECA 360,400.0,15,picture/FDI02042RL.png,,
FDI02043 ,STEP PANEL LOWER GARNISH LH=RH,ISUZU,DECA 360,200.0,40,picture/FDI02043 .png,,
FDI02047 ,DOOR FENDER LH  RH,ISUZU,DECA 360,900.0,20,picture/FDI02047 .png,,
FDI02048LR,REAR PILLAR OUTER LH RH,ISUZU,DECA 360,1800.0,20,picture/FDI02048LR.png,,
FDI02053 ,WINDSHIELD TANK,ISUZU,DECA 360,1300.0,15,picture/FDI02053 .png,,
FDI02072 ,HANDLE ASSIST A-POST SHORT LH=RH,ISUZU,DECA 360,600.0,20,picture/FDI02072 .png,,
FDI02107-C,Golden Isuzu logo 8cm,ISUZU,DECA 360,1000.0,10,picture/FDI02107-C.png,,
FDI02111  ,WINDOW HANDLE,ISUZU,DECA 360,100.0,30,picture/FDI02111  .png,,
FDI02115-P,Paint New Grille 160cm (White+Black),ISUZU,DECA 360,3000.0,3,picture/FDI02115-P.png,,
FDI02118LR,Door Shell LHRH (With Whole),ISUZU,DECA 360,4000.0,2,picture/FDI02118LR.png,,
FDI04053 ,HEAD LAMP LHRH,ISUZU,DECA 360,2500.0,10,picture/FDI04053 .png,,
FDI01001-P ,PAINT FRONT BUMPER 245cm,ISUZU,GIGA,4000.0,3,picture/FDI01001-P .png,,
FDI01002-P ,PAINT UNDER BUMPER,ISUZU,GIGA,1500.0,6,picture/FDI01002-P .png,,
FDI01035-P ,Paint Grille,ISUZU,GIGA,1500.0,5,picture/FDI01035-P .png,,
FDI01036-P,Paint Front Panel,ISUZU,GIGA,800.0,10,picture/FDI01036-P.png,,
FDI01040-P,Bumper Grille  PAINT,ISUZU,GIGA,1300.0,9,picture/FDI01040-P.png,,
FDI01042,Dashboard LHD 215cm,ISUZU,GIGA,10000.0,2,picture/FDI01042.png,,
FDI01047-P,Front Panel  PAINT,ISUZU,GIGA,1800.0,6,picture/FDI01047-P.png,,
FDI01048LR-P,Bumper Garnish LHRH,ISUZU,GIGA,500.0,22,picture/FDI01048LR-P.png,,
FDI01050 ,GIGA LOGO,ISUZU,GIGA,1000.0,20,picture/FDI01050 .png,,
FDI01051M ,Sunvisor Middle,ISUZU,GIGA,2000.0,5,picture/FDI01051M .png,,
FDI04001-P,Paint front panel (W) 135cm,ISUZU,NPR 150,3000.0,4,picture/FDI04001-P.png,,
FDI04004-P,Paint bumper 195cm,ISUZU,NPR 150,3500.0,6,picture/FDI04004-P.png,,
FDI04006N-C,Chrome Grille Upper Garnish  110cm,ISUZU,NPR 150,1000.0,5,picture/FDI04006N-C.png,,
FDI04014LR-P,Mirror Arm Bracket LH RH,ISUZU,NPR 150,800.0,5,picture/FDI04014LR-P.png,,
FDI04017,Cover Mirror Arm Support,ISUZU,NPR 150,540.0,40,picture/FDI04017.png,,
FDI04025 ,Roof Handle LH RH,ISUZU,NPR 150,500.0,20,picture/FDI04025 .png,,
FDI04030,Wiper Motor 24V LHD 8980291243,ISUZU,NPR 150,2400.0,10,picture/FDI04030.png,,
FDI04034,"Air Filter NO Filter 8-98050-415-1, 8980504152",ISUZU,NPR 150,5000.0,4,picture/FDI04034.png,,
FDI04035-1,Air Filter Cover Clip,ISUZU,NPR 150,20.0,100,picture/FDI04035-1.png,,
FDI04038-,BABS Grille 133CM (W),ISUZU,NPR 150,2500.0,10,picture/FDI04038-.png,,
FDI04045 -C-LHD-W,Chrome Mirror Arm LHD LH 40CM RH 50CM,ISUZU,NPR 150,2000.0,20,picture/FDI04045 -C-LHD-W.png,,
FDI04054LR,Corner Lamp LH RH (General),ISUZU,NPR 150,2500.0,10,picture/FDI04054LR.png,,
FDI04055,WIPER LINK LHD(W),ISUZU,NPR 150,1500.0,20,picture/FDI04055.png,,
FDI04062-P,Painting Grille 133 cm Width in Modification,ISUZU,NPR 150,2700.0,3,picture/FDI04062-P.png,,
FDI04074 ,Fuel Tank Cap,ISUZU,NPR 150,500.0,20,picture/FDI04074 .png,,
FDI04091L-1FDI04091R-1 ,Door Trim LH RH Automatic,ISUZU,NPR 150,1500.0,10,picture/FDI04091L-1FDI04091R-1 .png,,
FDI04103,Mudgurad Flap  41.5  28cm,ISUZU,NPR 150,500.0,40,picture/FDI04103.png,,
FDI04105,Steering wheel,ISUZU,NPR 150,3500.0,6,picture/FDI04105.png,,
FDI04106-H,Gear lever sleeve,ISUZU,NPR 150,3000.0,4,picture/FDI04106-H.png,,
FDI04122 ,Elf logo,ISUZU,NPR 150,500.0,30,picture/FDI04122 .png,,
